cal_date,portfolio_id,portfolio_name,loss_rate_percent
2014-01-31,1,Residential_Mortgages,0.7862
2014-02-28,1,Residential_Mortgages,0.6409
2014-03-31,1,Residential_Mortgages,0.761
2014-04-30,1,Residential_Mortgages,0.8821
2014-05-31,1,Residential_Mortgages,0.5974
2014-06-30,1,Residential_Mortgages,0.4552
2014-07-31,1,Residential_Mortgages,0.5302
2014-08-31,1,Residential_Mortgages,0.5317
2014-09-30,1,Residential_Mortgages,0.5723
2014-10-31,1,Residential_Mortgages,0.4944
2014-11-30,1,Residential_Mortgages,0.6608
2014-12-31,1,Residential_Mortgages,0.7805
2015-01-31,1,Residential_Mortgages,0.7823
2015-02-28,1,Residential_Mortgages,0.9239
2015-03-31,1,Residential_Mortgages,0.95
2015-04-30,1,Residential_Mortgages,0.7958
2015-05-31,1,Residential_Mortgages,0.8345
2015-06-30,1,Residential_Mortgages,0.6902
2015-07-31,1,Residential_Mortgages,0.8173
2015-08-31,1,Residential_Mortgages,0.7965
2015-09-30,1,Residential_Mortgages,0.762
2015-10-31,1,Residential_Mortgages,0.6689
2015-11-30,1,Residential_Mortgages,0.8457
2015-12-31,1,Residential_Mortgages,0.8054
2016-01-31,1,Residential_Mortgages,0.7369
2016-02-29,1,Residential_Mortgages,0.6923
2016-03-31,1,Residential_Mortgages,0.7733
2016-04-30,1,Residential_Mortgages,0.8161
2016-05-31,1,Residential_Mortgages,0.8565
2016-06-30,1,Residential_Mortgages,0.8913
2016-07-31,1,Residential_Mortgages,1.1449
2016-08-31,1,Residential_Mortgages,1.0115
2016-09-30,1,Residential_Mortgages,0.8908
2016-10-31,1,Residential_Mortgages,0.7544
2016-11-30,1,Residential_Mortgages,0.834
2016-12-31,1,Residential_Mortgages,0.9655
2017-01-31,1,Residential_Mortgages,0.9065
2017-02-28,1,Residential_Mortgages,0.7635
2017-03-31,1,Residential_Mortgages,0.6512
2017-04-30,1,Residential_Mortgages,0.756
2017-05-31,1,Residential_Mortgages,0.8521
2017-06-30,1,Residential_Mortgages,0.9026
2017-07-31,1,Residential_Mortgages,0.7834
2017-08-31,1,Residential_Mortgages,0.8066
2017-09-30,1,Residential_Mortgages,0.8099
2017-10-31,1,Residential_Mortgages,0.826
2017-11-30,1,Residential_Mortgages,0.925
2017-12-31,1,Residential_Mortgages,0.9187
2018-01-31,1,Residential_Mortgages,0.9738
2018-02-28,1,Residential_Mortgages,0.9372
2018-03-31,1,Residential_Mortgages,0.9371
2018-04-30,1,Residential_Mortgages,0.9822
2018-05-31,1,Residential_Mortgages,0.7426
2018-06-30,1,Residential_Mortgages,0.7011
2018-07-31,1,Residential_Mortgages,0.648
2018-08-31,1,Residential_Mortgages,0.5833
2018-09-30,1,Residential_Mortgages,0.5795
2018-10-31,1,Residential_Mortgages,0.8101
2018-11-30,1,Residential_Mortgages,0.683
2018-12-31,1,Residential_Mortgages,0.8234
2019-01-31,1,Residential_Mortgages,0.5858
2019-02-28,1,Residential_Mortgages,0.5736
2019-03-31,1,Residential_Mortgages,0.6296
2019-04-30,1,Residential_Mortgages,0.7303
2019-05-31,1,Residential_Mortgages,0.8273
2019-06-30,1,Residential_Mortgages,0.9157
2019-07-31,1,Residential_Mortgages,0.8358
2019-08-31,1,Residential_Mortgages,0.7568
2019-09-30,1,Residential_Mortgages,0.8679
2019-10-31,1,Residential_Mortgages,0.8183
2019-11-30,1,Residential_Mortgages,0.6354
2019-12-31,1,Residential_Mortgages,0.5079
2020-01-31,1,Residential_Mortgages,0.4342
2020-02-29,1,Residential_Mortgages,0.5622
2020-03-31,1,Residential_Mortgages,0.6177
2020-04-30,1,Residential_Mortgages,0.7345
2020-05-31,1,Residential_Mortgages,0.6804
